        F7F3  F7A6  F11C2
F10A3	x                  
F10A5	x                  
F10B3	x                  
F10B5	x                  
F10C1	x                  
F10C3	x                  
F10C4	      y            
F10D1	x                  
F10D5	x                  
F10E3	x                  
F10E5	x                  
F10F1	x                  
F10F3	x                  
F10F5	x                  
F10G2	x                  
F11A3	x                  
F11A6	x                  
F11B1	x                  
F11B2	x                  
F11B5	x                  
F11C2	            z      
F11D1	      y            
F11D2	x                  
F11D4	x                  
F11G3	x                  
F11G4	x                  
F12B1	x                  
F12B2	x                  
F12B3	x                  
F12C6	x                  
F12D4	x                  
F12E1	x                  
F12E4	x                  
F12E5	x                  
F12E6	x                  
F12F1	x                  
F12F5	x                  
F12G1	x                  
F15A3	x                  
F15A5	x                  
F15A6	x                  
F15B5	x                  
F15C5	x                  
F15C6	x                  
F15C8	      y            
F15D1	x                  
F15D2	x                  
F15E1	x                  
F15E2	x                  
F15E4	x                  
F15E5	x                  
F15E7	x                  
F15F1	x                  
F15F3	x                  
F15F5	x                  
F15F6	x                  
F15F8	x                  
F15H1	x                  
F15H5	x                  
F16A2	x                  
F16A4	x                  
F16A5	x                  
F16B1	x                  
F16B2	            z      
F16B3	x                  
F16B6	x                  
F16C1	x                  
F16D6	            z      
F16F4	      y            
F16G3	x                  
F16G4	            z      
F16G6	x                  
F17A7	      y            
F17B1	x                  
F17B7	      y            
F17C1	            z      
F17C2	      y            
F17C7	      y            
F17D6	            z      
F17E6	x                  
F17E7	x                  
F17F3	x                  
F17F5	      y            
F17G3	      y            
F17G5	      y            
F18B2	x                  
F18B4	            z      
F18C4	x                  
F18D2	x                  
F18E1	x                  
F18E2	x                  
F18F2	            z      
F3F1	x                  
F5A2	x                  
F5A4	x                  
F5B1	x                  
F5B2	x                  
F5B3	x                  
F5B4	x                  
F5C1	x                  
F5C2	x                  
F5C4	x                  
F5D1	x                  
F5E2	x                  
F5E4	x                  
F5F2	x                  
F5G2	x                  
F6A4	x                  
F6B2	x                  
F6B4	x                  
F6C2	x                  
F6C4	x                  
F6D2	            z      
F6E2	x                  
F6E4	x                  
F6F2	x                  
F6F4	x                  
F6G2	x                  
F6G3	x                  
F7A3	x                  
F7A6	      y            
F7B1	x                  
F7B2	x                  
F7B4	            z      
F7B5	x                  
F7B6	x                  
F7C1	x                  
F7C2	x                  
F7C6	            z      
F7D2	x                  
F7D3	x                  
F7D4	x                  
F7D6	x                  
F7E2	x                  
F7E6	x                  
F7F2	x                  
F7F3	x                  
F7F6	x                  
F7G2	x                  
F7G5	x                  
F8A1	x                  
F8A2	x                  
F8B2	      y            
F8B4	x                  
F8B5	x                  
F8C5	x                  
F8D3	x                  
F8D4	x                  
F8E6	      y            
F8G1	x                  
F8G2	      y            
F9A2	x                  
F9A3	x                  
F9A4	x                  
F9A5	      y            
F9B4	x                  
F9B6	            z      
F9C5	x                  
F9D3	x                  
F9D6	x                  
F9F2	x                  
F9F3	x                  
F9G3	x                  
