        F16A5  F10C3  F7F3
F10A3	            z      
F10A5	      y            
F10B3	            z      
F10B5	x                  
F10C1	      y            
F10C3	      y            
F10C4	x                  
F10D1	            z      
F10D5	x                  
F10E3	      y            
F10E5	            z      
F10F1	            z      
F10F3	      y            
F10F5	            z      
F10G2	            z      
F11A3	            z      
F11A6	            z      
F11B1	            z      
F11B2	            z      
F11B5	            z      
F11C2	            z      
F11D1	            z      
F11D2	            z      
F11D4	            z      
F11G3	            z      
F11G4	            z      
F12B1	      y            
F12B2	x                  
F12B3	x                  
F12C6	            z      
F12D4	            z      
F12E1	            z      
F12E4	            z      
F12E5	            z      
F12E6	            z      
F12F1	            z      
F12F5	            z      
F12G1	      y            
F15A3	            z      
F15A5	            z      
F15A6	x                  
F15B5	            z      
F15C5	            z      
F15C6	x                  
F15C8	            z      
F15D1	x                  
F15D2	            z      
F15E1	x                  
F15E2	            z      
F15E4	x                  
F15E5	            z      
F15E7	            z      
F15F1	x                  
F15F3	x                  
F15F5	            z      
F15F6	      y            
F15F8	            z      
F15H1	            z      
F15H5	            z      
F16A2	      y            
F16A4	x                  
F16A5	x                  
F16B1	            z      
F16B2	x                  
F16B3	x                  
F16B6	            z      
F16C1	x                  
F16D6	            z      
F16F4	x                  
F16G3	            z      
F16G4	            z      
F16G6	            z      
F17A7	      y            
F17B1	            z      
F17B7	x                  
F17C1	            z      
F17C2	      y            
F17C7	x                  
F17D6	      y            
F17E6	            z      
F17E7	      y            
F17F3	            z      
F17F5	x                  
F17G3	x                  
F17G5	x                  
F18B2	            z      
F18B4	            z      
F18C4	      y            
F18D2	            z      
F18E1	            z      
F18E2	            z      
F18F2	      y            
F3F1	            z      
F5A2	      y            
F5A4	      y            
F5B1	            z      
F5B2	x                  
F5B3	            z      
F5B4	x                  
F5C1	x                  
F5C2	      y            
F5C4	      y            
F5D1	      y            
F5E2	      y            
F5E4	            z      
F5F2	            z      
F5G2	      y            
F6A4	x                  
F6B2	      y            
F6B4	            z      
F6C2	            z      
F6C4	x                  
F6D2	            z      
F6E2	x                  
F6E4	            z      
F6F2	            z      
F6F4	      y            
F6G2	      y            
F6G3	            z      
F7A3	            z      
F7A6	            z      
F7B1	            z      
F7B2	      y            
F7B4	      y            
F7B5	x                  
F7B6	            z      
F7C1	x                  
F7C2	            z      
F7C6	            z      
F7D2	            z      
F7D3	            z      
F7D4	            z      
F7D6	            z      
F7E2	      y            
F7E6	            z      
F7F2	      y            
F7F3	            z      
F7F6	            z      
F7G2	            z      
F7G5	      y            
F8A1	            z      
F8A2	            z      
F8B2	x                  
F8B4	      y            
F8B5	            z      
F8C5	            z      
F8D3	            z      
F8D4	      y            
F8E6	x                  
F8G1	            z      
F8G2	      y            
F9A2	      y            
F9A3	            z      
F9A4	            z      
F9A5	            z      
F9B4	x                  
F9B6	      y            
F9C5	            z      
F9D3	            z      
F9D6	      y            
F9F2	            z      
F9F3	      y            
F9G3	            z      
